Time, Heart Rate, Latitude, Longitude, Altitude (meters above sea level), Speed (meters/second), Heart Rate Variability (milliseconds), Calories Burned (kcal), Battery Level (%)
09/26/2018 19:16:46,73,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:47,73,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:48,73,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:49,74,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:50,75,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:51,76,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:52,76,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:53,76,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:55,76,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:56,76,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:56,77,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:57,77,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:58,76,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:59,75,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:17:01,74,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:17:01,74,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:17:02,74,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:17:03,74,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:17:04,74,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:17:05,72,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:06,72,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:07,71,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:08,70,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:09,70,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:10,70,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:11,70,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:12,70,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:13,70,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:14,71,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:15,71,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:16,71,0.0,0.0,0.0,0.0,,28,96
09/26/2018 19:17:17,72,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:18,72,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:19,73,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:20,74,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:22,75,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:23,75,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:24,75,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:24,75,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:25,76,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:26,75,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:27,75,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:28,74,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:29,73,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:30,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:31,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:32,71,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:33,71,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:34,71,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:35,71,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:36,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:37,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:38,72,0.0,0.0,0.0,0.0,,29,96
09/26/2018 19:17:39,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:40,71,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:41,71,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:42,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:43,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:44,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:45,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:47,72,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:47,73,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:48,74,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:49,74,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:50,74,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:51,74,0.0,0.0,0.0,0.0,,30,96
09/26/2018 19:17:52,74,0.0,0.0,0.0,0.0,,31,96
